2025-02-24T22:05:12.618 +0000 [ 349437236][   47358] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=-30064803.651584886,-15374047.32183318,30064803.651584886,15374047.32183318&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:05:13.120 +0000 [ 349437738][   47359] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=-19544364.58134566,-18141375.839763153,40585242.72182411,12606718.803903207&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:05:13.121 +0000 [ 349437739][   47358] INFO  - threddsServlet - Request Completed - 200 - -1 - 503
2025-02-24T22:05:14.128 +0000 [ 349438746][   47360] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:05:14.128 +0000 [ 349438746][   47360] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:05:14.537 +0000 [ 349439155][   47359] INFO  - threddsServlet - Request Completed - 200 - -1 - 1417
2025-02-24T22:05:16.253 +0000 [ 349440871][   47361] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=-8135836.498683643,-13358338.895192828,51993770.804486126,17389755.748473532&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:05:16.953 +0000 [ 349441571][   47362] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=6529988.450307457,-8212325.92737929,36036300.89009694,6876129.29751306&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:05:17.677 +0000 [ 349442295][   47361] INFO  - threddsServlet - Request Completed - 200 - -1 - 1424
2025-02-24T22:05:19.206 +0000 [ 349443824][   47362] INFO  - threddsServlet - Request Completed - 200 - -1 - 2253
2025-02-24T22:05:20.785 +0000 [ 349445403][   47363] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=12832199.918564387,-5096251.187092479,27488007.35541685,2398195.79766162&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:05:22.842 +0000 [ 349447460][   47363] INFO  - threddsServlet - Request Completed - 200 - -1 - 2057
2025-02-24T22:05:23.443 +0000 [ 349448061][   47364] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=16470655.274158472,-3558640.468014187,23798558.9925847,188583.0243628628&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:05:24.200 +0000 [ 349448818][   47365] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:05:24.200 +0000 [ 349448818][   47365] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:05:25.439 +0000 [ 349450057][   47364] INFO  - threddsServlet - Request Completed - 200 - -1 - 1996
2025-02-24T22:05:34.264 +0000 [ 349458882][   47366] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:05:34.264 +0000 [ 349458882][   47366] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:05:44.320 +0000 [ 349468938][   47367] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:05:44.321 +0000 [ 349468939][   47367] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
2025-02-24T22:05:54.378 +0000 [ 349478996][   47368] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:05:54.378 +0000 [ 349478996][   47368] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:06:04.436 +0000 [ 349489054][   47369] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:06:04.436 +0000 [ 349489054][   47369] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:06:14.496 +0000 [ 349499114][   47370] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:06:14.496 +0000 [ 349499114][   47370] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:06:24.556 +0000 [ 349509174][   47371] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:06:24.556 +0000 [ 349509174][   47371] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:06:31.838 +0000 [ 349516456][   47372] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=-30064803.651584886,-15374047.32183318,30064803.651584886,15374047.32183318&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:06:32.344 +0000 [ 349516962][   47372] INFO  - threddsServlet - Request Completed - 200 - -1 - 506
2025-02-24T22:06:33.545 +0000 [ 349518163][   47373] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=-16026165.801363057,-16911452.0540165,44103441.50180671,13836642.589649862&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:06:34.623 +0000 [ 349519241][   47374] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:06:34.623 +0000 [ 349519241][   47374] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:06:34.746 +0000 [ 349519364][   47375] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=9014413.34144379,-7011821.403729558,28368570.56254425,2885190.8116059043&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:06:34.936 +0000 [ 349519554][   47373] INFO  - threddsServlet - Request Completed - 200 - -1 - 1391
2025-02-24T22:06:36.710 +0000 [ 349521328][   47375] INFO  - threddsServlet - Request Completed - 200 - -1 - 1964
